,Title,Instrumentalist,Vocalist,Date,Location,Genre,Music Composer,Lyrics Composer,Year of Composition,Recording Info,File ID
0,A bailar,Orquesta Aníbal Troilo,Francisco Fiorentino,1943-11-05,Buenos Aires,Tango,Domingo Federico,Homero Expósito,1943,RCA-Victor 60-0271 77360,
1,A bailar,Orquesta Ricardo Malerba,Orlando Medina,1943-11-08,Buenos Aires,Tango,Domingo Federico,Homero Expósito,1943,Odeon 5558 13342,
3,A bailarlo,Orquesta Ricardo Pedevilla,Instrumental,1952-05-06,Buenos Aires,Tango,José Dames,,,Pampa 14035-B,7051
4,A Belisario Roldán,Orquesta Pedro Laurenz,Instrumental,1953-06-25,Buenos Aires,Tango,Enrique Forte,,,Pampa 14149 MAI 1163,
8,A contramano,,Carlos Gardel,1929-03-01,París,Tango,Luis Teisseire,Juan Andrés Caruso,1928,Odeon 18268 KI-2248/2,7574
10,A Evaristo Carriego,,Instrumental,2001-05-01,Buenos Aires,Tango,Eduardo Rovira,,,Particular C-CD-01 En vivo,1743
11,A Evaristo Carriego,Orquesta Osvaldo Pugliese,Instrumental,1985-12-26,Buenos Aires,Tango,Eduardo Rovira,,,Odeon En el Colón,
12,A Evaristo Carriego,Orquesta Osvaldo Pugliese,Instrumental,1989-06-26,Amsterdam,Tango,Eduardo Rovira,,,Odeon,
14,A fuego lento,Orquesta Osvaldo Piro,Instrumental,1979-02-07,Buenos Aires,Tango,Horacio Salgán,,,RCA-Victor AVS-4630,
19,A Homero,Orquesta Aníbal Troilo,Roberto Goyeneche,1961-08-18,Buenos Aires,Tango,Aníbal Troilo,Cátulo Castillo,,RCA-Victor AVL-3416 2665,
24,A la criolla,Orquesta Alfredo De Angelis,Instrumental,1961-08-15,Buenos Aires,Tango,Francisco García Jiménez,Anselmo Aieta,,Odeon 55554-B 26776,
25,A la D'Arienzo,Orquesta Juan D'Arienzo,Instrumental,1968-09-13,Buenos Aires,Tango,José Reschini,,1968,RCA-Victor AVL-3819 RAAN-8298,7450
27,A la gran muñeca,Orquesta Alfredo De Angelis,Instrumental,1961-07-28,Buenos Aires,Tango,Jesús Ventura,Miguel Osés,1920,Odeon 52733-B 26695,
28,A la gran muñeca,Orquesta Carlos Di Sarli,Instrumental,1945-08-29,Buenos Aires,Tango,Jesús Ventura,Miguel Osés,1920,RCA-Victor 60-0792 80831,
29,A la gran muñeca,Orquesta Carlos Di Sarli,Instrumental,1954-06-30,Buenos Aires,Tango,Jesús Ventura,Miguel Osés,1920,RCA-Victor 60-1717 S2651,
30,A la gran muñeca,Orquesta Francisco Lomuto,Jorge Omar,1936-01-15,Buenos Aires,Tango,Jesús Ventura,Miguel Osés,1920,RCA-Victor 37871 93079,2346
31,A la gran muñeca,Orquesta Miguel Caló,Roberto Arrieta,1948-01-05,Buenos Aires,Tango,Jesús Ventura,Miguel Osés,1920,Odeon 30021 16832,
32,A la gran muñeca,Orquesta Rodolfo Biagi,Instrumental,1950-04-13,Buenos Aires,Tango,Jesús Ventura,Miguel Osés,1920,Odeon 55099 17620,
38,A la lima y al limón,Orquesta Francisco Canaro,Guillermo Rico,1944-12-06,Buenos Aires,Vals,Rafael De León,Manuel López Quiroga,,Odeon 5258 14287,
39,A la luz del candil,,Carlos Gardel,1927-07-22,Buenos Aires,Tango,Carlos Vicente Geroni Flores,Julio Navarrine,1927,Odeon 18216 1041/1,1448
40,A la luz del candil,Orquesta Carlos Di Sarli,Jorge Durán,1956-09-27,Buenos Aires,Tango,Carlos Vicente Geroni Flores,Julio Navarrine,1927,RCA-Victor 1A-1074 S5143,
41,A la luz del candil,Orquesta Osvaldo Pugliese,Miguel Montero,1954-07-14,Buenos Aires,Tango,Carlos Vicente Geroni Flores,Julio Navarrine,1927,Odeon 55978 19577,
42,A la luz del candil,Orquesta Raúl Garello,Roberto Rufino,1970-11-09,Buenos Aires,Tango,Carlos Vicente Geroni Flores,Julio Navarrine,1927,RCA-Victor CAL-3279 10863,
43,A la luz del candil,Orquesta Ricardo Tanturi,Carlos Ortega,1937-06-23,Buenos Aires,Tango,Carlos Vicente Geroni Flores,Julio Navarrine,1927,Odeon 7130 9078,
44,A la luz del candil,Orquesta Rodolfo Biagi,Carlos Acuña,1943-03-03,Buenos Aires,Tango,Carlos Vicente Geroni Flores,Julio Navarrine,1927,Odeon 5638 12625,
48,A la mujer argentina,Orquesta José Basso,Floreal Ruiz,1956-07-26,Buenos Aires,Tango,Alejandro Romay,Alejandro Romay,,Odeon 51975 21164,
50,A la parrilla,Orquesta Aníbal Troilo,Instrumental,1949-06-30,Buenos Aires,Tango,Carlos Figari,,,RCA-Victor 60-1805 91321,
53,A las estrellas,Orquesta Miguel Caló,Instrumental,1963-06-07,Buenos Aires,Tango,Armando Baliotti,,,Odeon LDI-545 29199,
54,A las siete en el café,Orquesta Ángel D'Agostino,Raúl Aldao,1943-08-10,Buenos Aires,Tango,Armando Baliotti,Santiago Adamini,,RCA-Victor 60-0133 77138,
55,A las siete en el café,Orquesta Miguel Caló,Jorge Ortiz,1943-01-20,Buenos Aires,Tango,Armando Baliotti,Santiago Adamini,,Odeon 8373 12498,1458
59,A lo mejor quién te dice,Orquesta José García,Alfredo Rojas,1942-10-27,Buenos Aires,Tango,Domingo Varela Conte,Celedonio Flores,,Odeon 7406 12311,
60,A los amigos,Orquesta Francini-Pontier,Instrumental,1950-06-01,Buenos Aires,Tango,Armando Pontier,,,RCA-Victor 60-1980 93742,1522
61,A los amigos,Orquesta Osvaldo Pugliese,Instrumental,1960-07-15,Buenos Aires,Tango,Armando Pontier,,,Odeon 52629 25554,
64,A los payadores,,Nelly Omar,1997-11-12,Buenos Aires,Vals,Gabriel Clausi,Mario César Gomila,,Magenta 512.510,
65,A Magaldi,Orquesta Alfredo De Angelis,"Carlos Dante, Julio Martel",1947-10-21,Buenos Aires,Vals,"Carlos Dante, Pedro Noda",Juan Tiggi,,Odeon 30411-B 16757,
66,A Martín Fierro,Orquesta Miguel Caló,Instrumental,1943-03-18,Buenos Aires,Tango,Francisco Federico,,,Odeon 8375 12652,
67,A media luz,Orquesta Alfredo De Angelis,Instrumental,1956-08-16,Buenos Aires,Tango,Edgardo Donato,Carlos Lenzi,1924,Odeon 52017-B 21236,
68,A media luz,Orquesta Alfredo Gobbi,Instrumental,1955-06-30,Buenos Aires,Tango,Edgardo Donato,Carlos Lenzi,1924,RCA-Victor 68-2162 SO4062,
70,A media luz,Orquesta José Basso,Francisco Fiorentino,1949-09-16,Buenos Aires,Tango,Edgardo Donato,Carlos Lenzi,1924,Odeon 30754 17423,
72,A media luz,Orquesta Miguel Caló,Instrumental,1964-04-24,Buenos Aires,Tango,Edgardo Donato,Carlos Lenzi,1924,Odeon DTOA-2097 30048,
80,A mí dejame en mi barrio,Orquesta Pedro Laurenz,Juan Carlos Casas,1942-10-20,Buenos Aires,Tango,Francisco Amor,Francisco Amor,,RCA-Victor 39635 84011,
83,A mi madre (Con los amigos),,Carlos Gardel,1930-05-22,Buenos Aires,Canción,"Carlos Gardel, José Razzano",Sebastián Alfredo Robles,,Odeon 18817 5615/1,3696
84,A mi madre (Con los amigos),Orquesta Ricardo Tanturi,Alberto Castillo,1943-03-02,Buenos Aires,Canción,"Carlos Gardel, José Razzano",Sebastián Alfredo Robles,,RCA-Victor 60-0025 84241,
85,A mi madre [b],Orquesta Francini-Pontier,Roberto Rufino,1948-05-10,Buenos Aires,Vals,Francisco Peña,Francisco Peña,,RCA-Victor 60-1592 83914,2805
86,A mí me copa el tango,Orquesta Osvaldo Pugliese,Abel Córdoba,1982-11-15,Buenos Aires,Tango,Diana Mireya Claret,Renée Carmen Díaz,,Odeon 46582,
88,A mí me llaman Juan Tango,Orquesta Carlos Di Sarli,Roberto Rufino,1943-11-04,Buenos Aires,Tango,Tito Ribero,Carlos Waiss,1944,RCA-Victor 60-0266 77351,
89,A mí me llaman Juan Tango,Orquesta Miguel Caló,Raúl Iriarte,1943-11-23,Buenos Aires,Tango,Tito Ribero,Carlos Waiss,1944,Odeon 8382 13288,
90,A mí no me den consejos,Orquesta Francisco Canaro,Charlo,1930-03-16,Buenos Aires,Tango,"Francisco Canaro, Luis Riccardi",Juan Andrés Caruso,1930,Odeon 16246 5239,2663
91,A mí no me hablen de tango,Orquesta Aníbal Troilo,Roberto Goyeneche,1963-04-23,Buenos Aires,Tango,Juan José Paz,José María Contursi,,RCA-Victor 31A 4209 3796,
92,A mí no me hablen de tango,Orquesta Carlos Figari,Tita Merello,1969-10-22,Buenos Aires,Tango,Juan José Paz,José María Contursi,,Odeon,
95,A mí no me interesa,Orquesta Rodolfo Biagi,Andrés Falgás,1940-04-12,Buenos Aires,Tango,Marcos Larrosa,Alfredo Defilpo,,Odeon 5612 10407,
96,A mi padre,Orquesta Alfredo De Angelis,Oscar Larroca,1955-11-02,Buenos Aires,Vals,Héctor Marcó,Héctor Marcó,1955,Odeon 51828-B 20541,
97,A mi vieja,Orquesta Juan D'Arienzo,Armando Laborde,1968-08-27,Buenos Aires,Tango,Juan Carlos Cañete Munho,Juan Carlos Cañete Munho,,RCA-Victor AVL-3819 RAAN-8271,
100,A mis compañeros,Orquesta Osvaldo Pugliese,Instrumental,1956-01-31,Buenos Aires,Tango,Osvaldo Ruggiero,,,Odeon 51883 20770,
101,A mis manos,Orquesta Alfredo Gobbi,Alfredo Del Río,1955-03-28,Buenos Aires,Milonga,Alfredo Gobbi,Julio Camilloni,,RCA-Victor 68-2061 SO3756,1945
103,A mis viejos,Orquesta Aníbal Troilo,Instrumental,1963-04-25,Buenos Aires,Tango,Osvaldo Berlingieri,,,RCA-Victor AVL-3461 3809,
105,A mucha honra,Orquesta Miguel Caló,Luis Correa,1963-12-04,Buenos Aires,Tango,"Américo Pinella, Luis Stazo",Ernesto Cardenal,,Odeon DTOA-2083 29702,
106,A mucha honra,Orquesta Miguel Caló,Luis Correa,1963-12-04,Buenos Aires,Tango,"Américo Pinella, Luis Stazo",Ernesto Cardenal,,Odeon DTOA-2083 29702,
107,A otra cosa che pebeta,Orquesta Ricardo Tanturi,Alberto Castillo,1943-03-02,Buenos Aires,Tango,Ricardo Tanturi,Enrique Cadícamo,,RCA-Victor 60-0014 84240,
108,A pan y agua,Orquesta Ángel D'Agostino,Ángel Vargas,1945-10-02,Buenos Aires,Tango,Juan Carlos Cobián,Enrique Cadícamo,,RCA-Victor 60-0769 80833,649
109,A pan y agua,Orquesta Ángel Vargas dir: Armando Lacava,Ángel Vargas,1953-01-26,Buenos Aires,Tango,Juan Carlos Cobián,Enrique Cadícamo,,RCA-Victor 68-0573 SO-0367,
110,A Pedro Maffia,Cuarteto Aníbal Troilo,Instrumental,1968-09-11,Buenos Aires,Tango,Aníbal Troilo,,,RCA-Victor AVL-3871 8301,
114,A quién le puede importar,Orquesta Ángel D'Agostino,Ángel Vargas,1945-08-07,Buenos Aires,Tango,Mariano Mores,Enrique Cadícamo,,RCA-Victor 60-0749 80758,
116,A Roberto Peppe,Orquesta Osvaldo Pugliese,Instrumental,1956-03-20,Buenos Aires,Tango,Esteban Gilardi,,,Odeon 51912 20836,
119,A su memoria,Orquesta Alfredo De Angelis,Carlos Dante,1947-04-23,Buenos Aires,Vals,Antonio Sureda,Homero Manzi,,Odeon 30407-B 16412,
120,A su memoria,Trío Antonio Sureda,Santiago Devin,1931-12-17,Buenos Aires,Vals,Antonio Sureda,Homero Manzi,,Odeon 7890,3799
121,A su memoria,Orquesta Francini-Pontier,Roberto Rufino,1947-03-05,Buenos Aires,Vals,Antonio Sureda,Homero Manzi,,RCA-Victor 60-1246 83300,
122,A suerte y verdad,Orquesta Rodolfo Biagi,Carlos Acuña,1944-08-11,Buenos Aires,Tango,Carlos Parodi,Carlos Waiss,1944,Odeon 5646 14023,
123,A través de los años,Orquesta Pedro Maffia,Félix Gutiérrez,1934-10-04,Buenos Aires,Tango,Pedro Maffia,Homero Manzi,,RCA-Victor 37662,4522
124,A tu memoria madrecita,Orquesta Alfredo De Angelis,Juan Carlos Godoy,1959-11-20,Buenos Aires,Vals,Alberto Cosentino,Alberto Cosentino,,Odeon 52587-A 24729,
125,A tu recuerdo,Orquesta Alfredo De Angelis,Carlos Dante,1954-11-25,Buenos Aires,Tango,Guillermo Vilar,Pedro Blasco,,Odeon 51641-A 19824,
126,A un artista del pueblo,Orquesta Osvaldo Pugliese,Instrumental,1980-06-03,Buenos Aires,Tango,Arturo Penón,,,Odeon 6160 45262,
127,A un gran amor,Orquesta Alfredo De Angelis,Carlos Aguirre,1971-04-25,Buenos Aires,Tango,Wenceslao Cinosi,Carlos Russo,,Odeon 51016-B 39280,
128,A un semejante,Conjunto Mario Menéndez,María José Mentana,1998-07-03,Caracas,Tango,Eladia Blázquez,Eladia Blázquez,,RO&FC GV-990353,2029
129,A una mujer,,Carmen Duval,1940-07-01,Buenos Aires,Vals,Horacio Salgán,Carmelo Volpe,,RCA-Victor 39018,
130,A una mujer,Orquesta Raúl Garello,Roberto Rufino,1970-10-26,Buenos Aires,Vals,Horacio Salgán,Carmelo Volpe,,RCA-Victor CAL-3279 10852,
131,A unos ojos,Orquesta Aníbal Troilo,"Edmundo Rivero, Aldo Calderón",1949-03-31,Buenos Aires,Vals,"Hernán Videla Flores, Carlos Montbrun Ocampo",Hernán Videla Flores,,RCA-Victor 60-1782 91268,
135,A usted señorita,Orquesta Alfredo De Angelis,Alberto Cuello,1966-10-31,Buenos Aires,Tango,Osvaldo Rizzo,Félix Rosario Arena,1966,Odeon 2205-B 32951,
136,A Villoldo,Orquesta Miguel Caló,Instrumental,1969-05-15,Buenos Aires,Tango,Armando Lacava,,,Odeon LDB-175 35750,
137,Abandonada,Orquesta Francisco Canaro,Ernesto Famá,1939-09-11,Buenos Aires,Tango,Francisco Canaro,Manuel Romero,,,588
138,Abandono,,Mercedes Simone,1938-03-29,Buenos Aires,Tango,Pedro Maffia,Homero Manzi,,Odeon,1425
139,Abandono,Orquesta Pedro Laurenz,Héctor Farrel,1937-09-24,Buenos Aires,Tango,Pedro Maffia,Homero Manzi,,RCA-Victor 38284 93914,
141,Abransen las pulperías,Orquesta Ángel D'Agostino,Tino García,1952-08-20,Buenos Aires,Tango,"Ángel D'Agostino, Alfredo Attadía",Mario Soto,,RCA-Victor 68-0376 SO-0066,
146,Abuela,Orquesta Alfredo De Angelis,"Juan Carlos Godoy, Lalo Martel",1959-12-21,Buenos Aires,Tango,Hipólito Caron,Ricardo Otero,,Odeon 52567-B 24826,
147,Abuelito,Orquesta Armando Pontier,Julio Sosa,1957-09-28,Buenos Aires,Tango,Alberto Laporte,"Carlos Cabral, Eduardo Trongé",1926,CBS-Columbia 8511 1245,
148,Abuelito,,Carlos Gardel,1927-02-18,Buenos Aires,Tango,Alberto Laporte,"Carlos Cabral, Eduardo Trongé",1926,Odeon 18203-B E-275/1,7291
149,Aclaremos,Orquesta Juan D'Arienzo,Armando Laborde,1956-08-23,Buenos Aires,Tango,José Raúl Iglesias,José Raúl Iglesias,,RCA-Victor 1A-1065 5086,
151,Aconsejando,Orquesta Miguel Caló,Roberto Luque,1963-12-04,Buenos Aires,Tango,Fortunata Levantón Rodiño,J. A. Piaggio,,Odeon DTOA-2083 29701,
152,Acordándome de vos,Orquesta Aníbal Troilo,Francisco Fiorentino,1942-07-23,Buenos Aires,Vals,Aníbal Troilo,Enrique Dizeo,,RCA-Victor 39675 69824,
154,Acordes porteños,Orquesta Alfredo De Angelis,Julio Martel,1945-05-04,Buenos Aires,Tango,Francisco Laino,Francisco Laino,,Odeon 3784-A 14607,
155,Acquaforte,Orquesta Osvaldo Pugliese,Miguel Montero,1958-07-23,Buenos Aires,Tango,Horacio Pettorossi,Juan Carlos Marambio Catán,1932,Odeon 52381 23241,15
156,Acquaforte,,Carlos Gardel,1933-02-22,Buenos Aires,Tango,Horacio Pettorossi,Juan Carlos Marambio Catán,1932,Odeon 18880 7351/1,7575
160,Acuérdate de mí [b],Orquesta Carlos Di Sarli,Jorge Durán,1946-08-29,Buenos Aires,Vals,Alfredo Cucci,Héctor Marcó,1944,RCA-Victor 60-1035 82311,
161,Adiós,Orquesta Miguel Caló,Alberto Marino,1967-06-05,Buenos Aires,Tango,Mariano Mores,"Pierre Cour, Alberto Laureano Martínez",,Odeon LDB-126 33499,
164,Adiós adiós,Orquesta Alfredo De Angelis,"Carlos Dante, Oscar Larroca",1955-07-13,Buenos Aires,Vals,Alfredo Pelaia,Alfredo Pelaia,,Odeon 51775-A 20263,
165,Adiós adiós adiós,,Roberto Rufino,1960-03-31,Buenos Aires,Bolero,Roberto Cantoral,Roberto Cantoral,,RCA-Victor No editado 1704,
168,Adiós Arolas (Se llamaba Eduardo Arolas),Orquesta Ángel D'Agostino,Rubén Cané,1953-08-10,Buenos Aires,Tango,Ángel D'Agostino,Enrique Cadícamo,1949,RCA-Victor 68-0974 SO-1085,
169,Adiós Arolas (Se llamaba Eduardo Arolas),Orquesta Ángel Vargas dir: Eduardo Del Piano,Ángel Vargas,1949-07-04,Buenos Aires,Tango,Ángel D'Agostino,Enrique Cadícamo,1949,RCA-Victor 60-1806 91322,
170,Adiós arrabal,Orquesta Ángel D'Agostino,Ángel Vargas,1941-09-09,Buenos Aires,Tango,Juan Baüer,Carlos Lenzi,1930,RCA-Victor 39404 59771,642
171,Adiós Bardi,Orquesta Aníbal Troilo,Instrumental,1970-09-28,Buenos Aires,Tango,Osvaldo Pugliese,,,RCA-Victor AVL-4006 10561,
172,Adiós Bardi,Orquesta Osvaldo Pugliese,Instrumental,1944-10-17,Buenos Aires,Tango,Osvaldo Pugliese,,,Odeon 7668 14165,
173,Adiós Buenos Aires,Orquesta Eduardo Arolas,Instrumental,1917-04-23,Buenos Aires,Tango,Eduardo Arolas,,,Victor 69587,1136
174,Adiós Buenos Aires [b],Orquesta Típica Victor,Ángel Vargas,1938-02-03,Buenos Aires,Tango,Rodolfo Sciammarella,Leopoldo Torre Ríos,1938,Victor 38375 12101,857
175,Adiós Chantecler,Orquesta Juan D'Arienzo,Jorge Valdez,1958-11-19,Buenos Aires,Tango,Enrique Cadícamo,Enrique Cadícamo,,RCA-Victor 1A-1805 JAAB-0766,1536
176,Adiós corazón,Orquesta Alfredo Gobbi,Tito Landó,1958-04-17,Buenos Aires,Tango,Lalo Etchegoncelay,Héctor Sapelli,1957,Orfeo 050006 103,
177,Adiós corazón,Orquesta Alfredo Gobbi,Alfredo Del Río,1958-04-17,Buenos Aires,Tango,Lalo Etchegoncelay,Héctor Sapelli,1957,Orfeo,
178,Adiós corazón,Orquesta Carlos Di Sarli,Roberto Florio,1958-01-16,Buenos Aires,Tango,Lalo Etchegoncelay,Héctor Sapelli,1957,RCA-Victor 1A-2078 T0445,
179,Adiós corazón,Orquesta Fulvio Salamanca,Armando Guerrico,1957-11-29,Buenos Aires,Tango,Lalo Etchegoncelay,Héctor Sapelli,1957,Odeon 22716,6232
180,Adiós corazón,Orquesta Osvaldo Pugliese,Jorge Maciel,1958-05-29,Buenos Aires,Tango,Lalo Etchegoncelay,Héctor Sapelli,1957,Odeon 52352 23117,
181,Adiós hermano,Orquesta Roberto Firpo,Instrumental,1931-12-05,Buenos Aires,Tango,Lucio D'Agostino,,,Odeon 3045 6976,6928
182,Adiós marinero,Orquesta Alfredo De Angelis,"Carlos Dante, Julio Martel",1946-12-27,Buenos Aires,Tango,Arturo Gallucci,Reinaldo Yiso,,Odeon 30404-B 16152,
183,Adiós marinero,Orquesta Francini-Pontier,"Alberto Podestá, Raúl Berón",1947-01-16,Buenos Aires,Tango,Arturo Gallucci,Reinaldo Yiso,,RCA-Victor 60-1189 83210,6907
184,Adiós muchachos,,Carlos Gardel,1928-06-26,Buenos Aires,Tango,Julio César Sanders,César Vedani,1927,Odeon 18245 2831/1,1313
185,Adiós muchachos,Orquesta Alfredo De Angelis,Julio Martel,1950-05-19,Buenos Aires,Tango,Julio César Sanders,César Vedani,1927,Odeon 55104-B 17660,
186,Adiós muchachos,Orquesta Alfredo De Angelis,Carlos Gardel,1973-11-08,Buenos Aires,Tango,Julio César Sanders,César Vedani,1927,Odeon 8015-B 41005,
187,Adiós muchachos,Orquesta José Basso,Instrumental,1961-05-12,Buenos Aires,Tango,Julio César Sanders,César Vedani,1927,Odeon LDS-818 26337,
190,Adiós Nonino,Orquesta Aníbal Troilo,Instrumental,1966-12-06,Buenos Aires,Tango,Astor Piazzolla,Eladia Blázquez,,RCA-Victor AVL-3724 6683,
191,Adiós Nonino,Quinteto Astor Piazzolla,Instrumental,1961-01-28,Buenos Aires,Tango,Astor Piazzolla,Eladia Blázquez,,RCA-Victor TLP2-50032,1381
196,Adiós pampa mía,Orquesta Aníbal Troilo,"Alberto Marino, Floreal Ruiz",1945-11-15,Buenos Aires,Tango,"Francisco Canaro, Mariano Mores",Ivo Pelay,1945,RCA-Victor 60-0825 80896,
198,Adiós pampa mía,Orquesta Miguel Caló,Ranko Fujisawa,1964-03-13,Buenos Aires,Tango,"Francisco Canaro, Mariano Mores",Ivo Pelay,1945,Odeon 29826,
199,Adiós pampa mía,Orquesta Miguel Caló,Alberto Marino,1967-05-23,Buenos Aires,Tango,"Francisco Canaro, Mariano Mores",Ivo Pelay,1945,Odeon LDB-126 33470,
200,Adiós pampa mía,Orquesta Osvaldo Pugliese,Abel Córdoba,1976-06-04,Buenos Aires,Tango,"Francisco Canaro, Mariano Mores",Ivo Pelay,1945,Odeon 6210 42853,
201,Adiós pampa mía,,Alberto Gómez,1946-10-02,Buenos Aires,Tango,"Francisco Canaro, Mariano Mores",Ivo Pelay,1945,RCA-Victor 20515 15845,
202,Adiós pampa mía,Orquesta Raúl Garello,Rosanna Falasca,1975-05-20,Buenos Aires,Tango,"Francisco Canaro, Mariano Mores",Ivo Pelay,1945,EMI-Odeon 6294,
203,Adiós pampa mía,Orquesta Rodolfo Biagi,Alberto Amor,1946-01-31,Buenos Aires,Tango,"Francisco Canaro, Mariano Mores",Ivo Pelay,1945,Odeon 5658 15326,
204,Adiós pampa mía,Orquesta Francisco Canaro,Nelly Omar,1946-01-28,Buenos Aires,Tango,"Francisco Canaro, Mariano Mores",Ivo Pelay,1945,Odeon 5277 15314,
207,Adiós para siempre [b],Orquesta Ángel D'Agostino,Ángel Vargas,1942-03-16,Buenos Aires,Tango,José María Rizzuti,Nolo López,,RCA-Victor 39552 69617,
208,Adiós pueblo,Orquesta Ricardo Tanturi,Instrumental,1941-08-14,Buenos Aires,Tango,Agustín Bardi,José De Grandis,,RCA-Victor 39377 59715,
209,Adiós querida (Adeus querida),Orquesta Alfredo De Angelis,"Carlos Dante, Oscar Larroca",1956-11-09,Buenos Aires,Tango,"Floriano Faissal, Eduardo Patané","Oscar Rubens, Floriano Faissal, Eduardo Patané",,Odeon 52063-A 21530,
210,Adiós te vas,Orquesta Carlos Di Sarli,Roberto Rufino,1943-03-17,Buenos Aires,Tango,Egidio Pittaluga,Cátulo Castillo,1943,RCA-Victor 60-0023 84259,
211,Adiós te vas,Orquesta Rodolfo Biagi,Carlos Acuña,1943-08-24,Buenos Aires,Tango,Egidio Pittaluga,Cátulo Castillo,1943,Odeon 5641 13071,
213,Adiós vidalita,Orquesta Alfredo De Angelis,Carlos Dante,1949-12-23,Buenos Aires,Tango,Juan Larenza,Lito Bayardo,,Odeon 30427-B 17537,
214,Adiós… adiós corazón,Orquesta José García,Alfredo Rojas,1942-11-04,Buenos Aires,Tango,"Félix Lipesker, Emilio Barbato",Lito Bayardo,1942,Odeon 7407 12335,
215,Adoración [b],Orquesta Alfredo Gobbi,"Carlos Heredia, Hugo Soler",1947-11-04,Buenos Aires,Vals,"Ramón Argüello, Pedro Pidoto","Ramón Argüello, Pedro Pidoto",,RCA-Victor 60-1485 83744,699
216,Adoración [b],Orquesta Rodolfo Biagi,"Hugo Duval, Carlos Heredia",1951-10-04,Buenos Aires,Vals,"Ramón Argüello, Pedro Pidoto","Ramón Argüello, Pedro Pidoto",,Odeon 55306 18222,
218,Afiches,Orquesta Atilio Stampone,Roberto Goyeneche,1972-10-03,Buenos Aires,Tango,Atilio Stampone,Homero Expósito,,RCA-Victor,1265
222,Afilador,,Agustín Magaldi,1932-09-02,Buenos Aires,Ranchera,Francisco Pracánico,Emilio Magaldi,,RCA-Victor 37264 66897,3660
225,Agua florida,Orquesta Ángel D'Agostino,Ángel Vargas,1941-11-13,Buenos Aires,Tango,Ramón Collazo,Fernán Silva Valdés,1928,RCA-Victor 39479 59873,3089
226,Aguantate Casimiro,Orquesta Alfredo De Angelis,Oscar Larroca,1958-04-07,Buenos Aires,Tango,Alberto Mastra,Alberto Mastra,,Odeon 52325-B 22949,
227,Aguantate Casimiro,Orquesta Aníbal Troilo,Roberto Goyeneche,1958-12-23,Buenos Aires,Tango,Alberto Mastra,Alberto Mastra,,Odeon DSOA E-1730 23760,
229,Agüelita qué hora son,Orquesta Francisco Rotundo,Floreal Ruiz,1949-05-23,Buenos Aires,Tango,Roberto Díaz,Cayetano Oreste,,Odeon 30653 17297,2961
230,Agüelita qué hora son,Guitarras de Roberto Grela,Nelly Omar,1953-11-20,Buenos Aires,Tango,Roberto Díaz,Cayetano Oreste,,Odeon,
231,Ahí está,Orquesta Juan D'Arienzo,Armando Laborde,1954-04-29,Buenos Aires,Tango,Gastón Borderia,Miguel Brunetti,,RCA-Victor 68-1641 2082,
232,Ahí va el dulce,Orquesta José Basso,Instrumental,1958-05-14,Buenos Aires,Tango,Juan Canaro,Osvaldo Sosa Cordero,,Odeon 51350 23070,
233,Ahí va el dulce,Orquesta Osmar Maderna,Instrumental,1950-11-28,Buenos Aires,Tango,Juan Canaro,Osvaldo Sosa Cordero,,RCA-Victor 60-2069,
237,Ahora no me conocés,Orquesta Ángel D'Agostino,Ángel Vargas,1941-09-09,Buenos Aires,Tango,Armando Baliotti,Carlos Giampé,1941,RCA-Victor 39404 59770,
238,Ahora no me conocés,Orquesta Osvaldo Pugliese,Alberto Morán,1952-06-27,Buenos Aires,Tango,Armando Baliotti,Carlos Giampé,1941,Odeon 55425 18453,
239,Ahora no me conocés,Orquesta Rodolfo Biagi,Jorge Ortiz,1941-09-26,Buenos Aires,Tango,Armando Baliotti,Carlos Giampé,1941,Odeon 5625 11457,2513
242,Ahora soy casado,Orquesta Típica Victor,Alberto Gómez,1931-02-14,Buenos Aires,Tango,Mario Mascaró,Luis Despaux,,RCA-Victor 47614-B 60637/1,6942
243,Ahora te llaman Lulú,Orquesta Mariano Mores,"Hugo Del Carril, Tita Merello",1969-10-28,Buenos Aires,Milonga,Mariano Mores,Rodolfo Taboada,,Odeon LDB-103 32003,
248,Al compás de tu mentira,Orquesta Osmar Maderna,Pedro Dátila,1950-02-02,Buenos Aires,Tango,Rodolfo Sciammarella,Héctor Canziani,,RCA-Victor 60-1916,1461
249,Al compás de un tango,Orquesta Lucio Demare,Juan Carlos Miranda,1942-03-13,Buenos Aires,Tango,Alberto Suárez Villanueva,Oscar Rubens,1942,Odeon 8054 11885,
250,Al compás de un tango,Orquesta Ricardo Tanturi,Alberto Castillo,1942-03-18,Buenos Aires,Tango,Alberto Suárez Villanueva,Oscar Rubens,1942,RCA-Victor 39553 69618,
251,Al compás del corazón (Late un corazón),Orquesta Armando Pontier,Julio Sosa,1960-06-21,Buenos Aires,Tango,Domingo Federico,Homero Expósito,1942,CBS-Columbia 8269 2280,
252,Al compás del corazón (Late un corazón),Orquesta Carlos Di Sarli,Alberto Podestá,1942-04-09,Buenos Aires,Tango,Domingo Federico,Homero Expósito,1942,RCA-Victor 39583 59970,
253,Al compás del corazón (Late un corazón),Orquesta Miguel Caló,Raúl Berón,1942-04-29,Buenos Aires,Tango,Domingo Federico,Homero Expósito,1942,Odeon 8364 11964,773
